date,strike,lastPrice,bid,ask,change,pctChange,volume,openInterest,iv,itm,distProb,Index
2023-07-13,375.0,72.26,71.3,71.35,7.970001,12.396954,6.0,2,1.6601579492187502,True,0.0,0
2023-07-13,377.0,63.65,69.31,69.35,0.0,0.0,3.0,3,1.62109564453125,True,0.0,1
2023-07-13,378.0,62.75,68.31,68.35,0.0,0.0,6.0,6,1.5996113769531248,True,0.0,2
2023-07-13,380.0,67.29,66.31,66.36,3.5800018,5.619215,4.0,0,1.5585959570312498,True,0.0,3
2023-07-13,390.0,52.44,56.32,56.36,0.0,0.0,2.0,2,1.3457063964843747,True,0.0,4
2023-07-13,404.0,42.69,42.33,42.37,6.419998,17.700573,1.0,1,1.0488328808593752,True,0.0,5
2023-07-13,405.0,41.47,41.33,41.37,4.41,11.899621,1.0,1,1.0263720556640623,True,0.0,6
2023-07-13,407.0,38.83,39.33,39.38,5.7800026,17.48866,1.0,2,0.98632826171875,True,0.0,7
2023-07-13,409.0,37.47,37.33,37.38,6.840002,22.331057,1.0,2,0.9423833886718748,True,0.0,8
2023-07-13,410.0,36.31,36.33,36.38,6.0300007,19.914137,8.0,4,0.91992267578125,True,0.0,9
2023-07-13,411.0,35.3,35.33,35.38,5.7199993,19.337387,5.0,3,0.8984385156249999,True,0.0,10
2023-07-13,413.0,34.48,33.37,33.42,6.8500004,24.791895,1.0,7,0.8740246972656249,True,0.0,11
2023-07-13,414.0,32.43,32.34,32.38,5.4400005,20.155615,4.0,7,0.8349625878906248,True,0.0,12
2023-07-13,415.0,24.25,31.34,31.38,0.0,0.0,9.0,14,0.813478427734375,True,0.0,13
2023-07-13,416.0,29.84,30.34,30.38,7.5699997,33.991917,5.0,9,0.79101771484375,True,0.0,14
2023-07-13,417.0,28.43,29.34,29.39,7.0699997,33.09925,5.0,11,0.77148666015625,True,0.0,15
2023-07-13,418.0,28.84,28.34,28.39,7.6800003,36.2949,2.0,28,0.7490259472656251,True,0.0,16
2023-07-13,419.0,27.68,27.34,27.39,6.800001,32.56706,2.0,8,0.726565234375,True,0.0,17
2023-07-13,420.0,26.32,26.34,26.39,3.5299988,15.489243,37.0,84,0.7041045214843751,True,0.0,18
2023-07-13,421.0,18.29,25.34,25.39,0.0,0.0,3.0,4,0.6816438085937502,True,0.0,19
2023-07-13,422.0,25.47,24.35,24.43,7.58,42.37004,11.0,22,0.6689486230468751,True,0.0,20
2023-07-13,423.0,24.1,23.35,23.39,7.210001,42.68799,1.0,12,0.63867548828125,True,0.0,21
2023-07-13,424.0,21.56,22.35,22.44,2.7199993,14.437364,2.0,22,0.6254920263671876,True,0.0,22
2023-07-13,425.0,20.95,21.35,21.4,3.3700008,19.169516,7.0,21,0.5952188916015625,True,1e-05,23
2023-07-13,426.0,20.26,20.35,20.4,5.41,36.430977,4.0,31,0.5722699023437501,True,4e-05,24
2023-07-13,427.0,18.95,19.35,19.4,3.0500011,19.182398,6.0,148,0.5493209130859377,True,0.00011,25
2023-07-13,428.0,18.01,18.36,18.4,5.2800007,41.476833,29.0,64,0.5278367529296876,True,8e-05,26
2023-07-13,429.0,16.93,17.36,17.44,3.3200006,24.393835,21.0,52,0.5107470800781251,True,0.00017,27
2023-07-13,430.0,16.91,16.36,16.4,4.3199997,34.312943,131.0,118,0.487309814453125,True,0.00063,28
2023-07-13,431.0,15.07,15.36,15.41,3.46,29.801897,34.0,55,0.4663139306640625,True,0.001,29
2023-07-13,432.0,13.99,14.29,14.41,3.0299997,27.645985,17.0,57,0.442388388671875,True,0.00194,30
2023-07-13,433.0,12.97,13.37,13.41,2.9000006,28.798416,52.0,223,0.4179745703124999,True,0.00366,31
2023-07-13,434.0,12.37,12.37,12.41,3.79,44.172497,69.0,537,0.393560751953125,True,0.00611,32
2023-07-13,435.0,11.2,11.37,11.42,3.0999994,38.2716,14900.0,4006,0.3711000390625,True,0.0104,33
2023-07-13,436.0,10.44,10.42,10.47,3.5199995,50.867046,84.0,1676,0.35742830078125,True,0.01673,34
2023-07-13,437.0,9.4,9.38,9.43,3.2199998,52.103554,87.0,1671,0.3227606787109374,True,0.02763,35
2023-07-13,438.0,8.5,8.4,8.43,3.3400002,64.72869,1318.0,2358,0.2963937548828125,True,0.04216,36
2023-07-13,439.0,7.22,7.4,7.44,2.85,65.21739,463.0,3265,0.2719799365234374,True,0.06182,37
2023-07-13,440.0,6.43,6.41,6.45,2.83,78.611115,1174.0,2524,0.2465895654296875,True,0.09009,38
2023-07-13,441.0,5.48,5.43,5.47,2.56,87.67123,1474.0,2611,0.2216874707031249,True,0.12542,39
2023-07-13,442.0,4.5,4.48,4.5,2.18,93.96552,2001.0,3798,0.19727365234375,True,0.17031,40
2023-07-13,443.0,3.59,3.53,3.57,1.8,100.55866,5306.0,3748,0.1762777685546875,True,0.22371,41
2023-07-13,444.0,2.67,2.66,2.68,1.3000001,94.89052,14291.0,3315,0.1562584375,True,0.28591,42
2023-07-13,445.0,1.9,1.88,1.89,0.88,86.27451,51696.0,4713,0.141610146484375,True,0.35374,43
2023-07-13,446.0,1.25,1.24,1.25,0.51,68.91892,134484.0,3163,0.1330653100585937,True,0.42956,44
2023-07-13,447.0,0.77,0.77,0.78,0.24000001,45.283024,183791.0,2634,0.1294032373046875,False,0.49606,45
2023-07-13,448.0,0.44,0.44,0.45,0.07999998,22.222216,94408.0,3782,0.12696185546875,False,0.42111,46
2023-07-13,449.0,0.23,0.23,0.24,-0.019999996,-7.999998,47784.0,1435,0.1257411645507812,False,0.34525,47
2023-07-13,450.0,0.12,0.11,0.12,-0.050000004,-29.411766,65322.0,5755,0.1254970263671875,False,0.27618,48
2023-07-13,451.0,0.05,0.05,0.06,-0.05,-50.0,19810.0,1086,0.127938408203125,False,0.21565,49
2023-07-13,452.0,0.03,0.02,0.03,-0.049999997,-62.5,12146.0,1600,0.1308680664062499,False,0.16325,50
2023-07-13,453.0,0.02,0.01,0.02,-0.04,-66.66667,8915.0,474,0.14063359375,False,0.11998,51
2023-07-13,454.0,0.01,0.01,0.02,-0.03,-75.0,5133.0,485,0.1562584375,False,0.08486,52
2023-07-13,455.0,0.01,0.0,0.01,-0.02,-66.66667,3009.0,432,0.1601646484375,False,0.0594,53
2023-07-13,456.0,0.01,0.0,0.01,-0.02,-66.66667,2356.0,891,0.17188328125,False,0.04119,54
2023-07-13,457.0,0.01,0.0,0.01,-0.01,-50.0,978.0,407,0.187508125,False,0.02628,55
2023-07-13,458.0,0.01,0.0,0.01,-0.01,-50.0,980.0,428,0.2031329687499999,False,0.01604,56
2023-07-13,459.0,0.01,0.0,0.01,-0.01,-50.0,1897.0,248,0.2187578124999999,False,0.01023,57
2023-07-13,460.0,0.01,0.0,0.01,0.0,0.0,530.0,286,0.23438265625,False,0.00562,58
2023-07-13,461.0,0.01,0.0,0.01,0.0,0.0,125.0,32,0.2461012890625,False,0.00292,59
2023-07-13,462.0,0.01,0.0,0.01,0.0,0.0,4.0,127,0.2617261328125,False,0.00173,60
2023-07-13,463.0,0.01,0.0,0.01,0.0,0.0,2.0,269,0.273444765625,False,0.00094,61
2023-07-13,464.0,0.01,0.0,0.01,0.0,0.0,1.0,343,0.2890696093749999,False,0.00051,62
2023-07-13,466.0,0.01,0.0,0.01,-0.01,-50.0,1.0,2,0.3203192968749999,False,0.00018,63
2023-07-13,467.0,0.01,0.0,0.01,-0.01,-50.0,2.0,10,0.3320379296875,False,2e-05,64
2023-07-13,470.0,0.02,0.0,0.01,0.0,0.0,115.0,108,0.37500625,False,1e-05,65
2023-07-13,472.0,0.01,0.0,0.01,0.0,0.0,nan,1,0.398443515625,False,0.0,66
2023-07-13,473.0,0.01,0.0,0.01,0.0,0.0,nan,1,0.414068359375,False,0.0,67
2023-07-13,474.0,0.01,0.0,0.01,0.0,0.0,2.0,2,0.429693203125,False,0.0,68
2023-07-13,477.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.4687553125,False,0.0,69
2023-07-13,480.0,0.01,0.0,0.01,0.0,0.0,2.0,87,0.500005,False,0.0,70
2023-07-13,481.0,0.01,0.0,0.01,0.0,0.0,nan,2,0.51562984375,False,0.0,71
2023-07-13,482.0,0.01,0.0,0.01,0.0,0.0,nan,4,0.500005,False,0.0,72
2023-07-13,483.0,0.01,0.0,0.01,0.0,0.0,nan,2,0.51562984375,False,0.0,73
